,actor_name,path
3171,Gerhard_Schroeder,.\data\lfw-deepfunneled\Gerhard_Schroeder\Gerhard_Schroeder_0025.jpg
5843,Luiz_Inacio_Lula_da_Silva,.\data\lfw-deepfunneled\Luiz_Inacio_Lula_da_Silva\Luiz_Inacio_Lula_da_Silva_0027.jpg
3619,Harry_Kalas,.\data\lfw-deepfunneled\Harry_Kalas\Harry_Kalas_0001.jpg
4181,Jean-Claude_Juncker,.\data\lfw-deepfunneled\Jean-Claude_Juncker\Jean-Claude_Juncker_0002.jpg
6125,Mary_Carey,.\data\lfw-deepfunneled\Mary_Carey\Mary_Carey_0003.jpg
4649,John_Allen_Muhammad,.\data\lfw-deepfunneled\John_Allen_Muhammad\John_Allen_Muhammad_0010.jpg
2407,Fidel_Castro,.\data\lfw-deepfunneled\Fidel_Castro\Fidel_Castro_0007.jpg
3327,Gloria_Macapagal_Arroyo,.\data\lfw-deepfunneled\Gloria_Macapagal_Arroyo\Gloria_Macapagal_Arroyo_0033.jpg
1254,Cesar_Gaviria,.\data\lfw-deepfunneled\Cesar_Gaviria\Cesar_Gaviria_0003.jpg
41,Abdullatif_Sener,.\data\lfw-deepfunneled\Abdullatif_Sener\Abdullatif_Sener_0002.jpg
4057,James_Cameron,.\data\lfw-deepfunneled\James_Cameron\James_Cameron_0002.jpg
2635,George_W_Bush,.\data\lfw-deepfunneled\George_W_Bush\George_W_Bush_0029.jpg
7208,Rafael_Ramirez,.\data\lfw-deepfunneled\Rafael_Ramirez\Rafael_Ramirez_0004.jpg
7138,Princess_Elisabeth,.\data\lfw-deepfunneled\Princess_Elisabeth\Princess_Elisabeth_0001.jpg
6678,Nestor_Kirchner,.\data\lfw-deepfunneled\Nestor_Kirchner\Nestor_Kirchner_0017.jpg
2659,George_W_Bush,.\data\lfw-deepfunneled\George_W_Bush\George_W_Bush_0053.jpg
2587,George_Robertson,.\data\lfw-deepfunneled\George_Robertson\George_Robertson_0014.jpg
5983,Mariana_Pollack,.\data\lfw-deepfunneled\Mariana_Pollack\Mariana_Pollack_0003.jpg
6802,Omar_Sharif,.\data\lfw-deepfunneled\Omar_Sharif\Omar_Sharif_0004.jpg
