,actor_name,path
2078,Donald_Rumsfeld,.\lfw-deepfunneled\Donald_Rumsfeld\Donald_Rumsfeld_0079.jpg
8604,Tony_Blair,.\lfw-deepfunneled\Tony_Blair\Tony_Blair_0065.jpg
2977,George_W_Bush,.\lfw-deepfunneled\George_W_Bush\George_W_Bush_0371.jpg
2545,George_HW_Bush,.\lfw-deepfunneled\George_HW_Bush\George_HW_Bush_0003.jpg
3044,George_W_Bush,.\lfw-deepfunneled\George_W_Bush\George_W_Bush_0438.jpg
4772,John_Kerry,.\lfw-deepfunneled\John_Kerry\John_Kerry_0011.jpg
8630,Tony_Blair,.\lfw-deepfunneled\Tony_Blair\Tony_Blair_0091.jpg
1806,David_Beckham,.\lfw-deepfunneled\David_Beckham\David_Beckham_0024.jpg
7263,Recep_Tayyip_Erdogan,.\lfw-deepfunneled\Recep_Tayyip_Erdogan\Recep_Tayyip_Erdogan_0001.jpg
4191,Jean-David_Levitte,.\lfw-deepfunneled\Jean-David_Levitte\Jean-David_Levitte_0008.jpg
1846,David_Nalbandian,.\lfw-deepfunneled\David_Nalbandian\David_Nalbandian_0005.jpg
3925,Jackie_Chan,.\lfw-deepfunneled\Jackie_Chan\Jackie_Chan_0006.jpg
687,Arnold_Schwarzenegger,.\lfw-deepfunneled\Arnold_Schwarzenegger\Arnold_Schwarzenegger_0036.jpg
8108,Spencer_Abraham,.\lfw-deepfunneled\Spencer_Abraham\Spencer_Abraham_0006.jpg
549,Ariel_Sharon,.\lfw-deepfunneled\Ariel_Sharon\Ariel_Sharon_0007.jpg
3612,Harrison_Ford,.\lfw-deepfunneled\Harrison_Ford\Harrison_Ford_0008.jpg
5112,Julianne_Moore,.\lfw-deepfunneled\Julianne_Moore\Julianne_Moore_0016.jpg
2976,George_W_Bush,.\lfw-deepfunneled\George_W_Bush\George_W_Bush_0370.jpg
3247,Gerhard_Schroeder,.\lfw-deepfunneled\Gerhard_Schroeder\Gerhard_Schroeder_0101.jpg
8504,Tom_Ridge,.\lfw-deepfunneled\Tom_Ridge\Tom_Ridge_0008.jpg
3609,Harrison_Ford,.\lfw-deepfunneled\Harrison_Ford\Harrison_Ford_0005.jpg
3580,Hans_Blix,.\lfw-deepfunneled\Hans_Blix\Hans_Blix_0020.jpg
1981,Dominique_de_Villepin,.\lfw-deepfunneled\Dominique_de_Villepin\Dominique_de_Villepin_0006.jpg
2049,Donald_Rumsfeld,.\lfw-deepfunneled\Donald_Rumsfeld\Donald_Rumsfeld_0050.jpg
77,Adrien_Brody,.\lfw-deepfunneled\Adrien_Brody\Adrien_Brody_0011.jpg
1606,Colin_Powell,.\lfw-deepfunneled\Colin_Powell\Colin_Powell_0149.jpg
8577,Tony_Blair,.\lfw-deepfunneled\Tony_Blair\Tony_Blair_0038.jpg
866,Bill_Clinton,.\lfw-deepfunneled\Bill_Clinton\Bill_Clinton_0016.jpg
2748,George_W_Bush,.\lfw-deepfunneled\George_W_Bush\George_W_Bush_0142.jpg
910,Bill_Graham,.\lfw-deepfunneled\Bill_Graham\Bill_Graham_0005.jpg
1615,Colin_Powell,.\lfw-deepfunneled\Colin_Powell\Colin_Powell_0158.jpg
7320,Ricardo_Lagos,.\lfw-deepfunneled\Ricardo_Lagos\Ricardo_Lagos_0005.jpg
2712,George_W_Bush,.\lfw-deepfunneled\George_W_Bush\George_W_Bush_0106.jpg
5123,Julie_Gerberding,.\lfw-deepfunneled\Julie_Gerberding\Julie_Gerberding_0005.jpg
4513,Jiang_Zemin,.\lfw-deepfunneled\Jiang_Zemin\Jiang_Zemin_0017.jpg
8219,Taha_Yassin_Ramadan,.\lfw-deepfunneled\Taha_Yassin_Ramadan\Taha_Yassin_Ramadan_0001.jpg
1690,Colin_Powell,.\lfw-deepfunneled\Colin_Powell\Colin_Powell_0233.jpg
8973,Wen_Jiabao,.\lfw-deepfunneled\Wen_Jiabao\Wen_Jiabao_0006.jpg
8052,Silvio_Berlusconi,.\lfw-deepfunneled\Silvio_Berlusconi\Silvio_Berlusconi_0007.jpg
5171,Junichiro_Koizumi,.\lfw-deepfunneled\Junichiro_Koizumi\Junichiro_Koizumi_0034.jpg
4228,Jean_Charest,.\lfw-deepfunneled\Jean_Charest\Jean_Charest_0015.jpg
7078,Pete_Sampras,.\lfw-deepfunneled\Pete_Sampras\Pete_Sampras_0011.jpg
2975,George_W_Bush,.\lfw-deepfunneled\George_W_Bush\George_W_Bush_0369.jpg
570,Ariel_Sharon,.\lfw-deepfunneled\Ariel_Sharon\Ariel_Sharon_0028.jpg
402,Andre_Agassi,.\lfw-deepfunneled\Andre_Agassi\Andre_Agassi_0025.jpg
2763,George_W_Bush,.\lfw-deepfunneled\George_W_Bush\George_W_Bush_0157.jpg
2051,Donald_Rumsfeld,.\lfw-deepfunneled\Donald_Rumsfeld\Donald_Rumsfeld_0052.jpg
7709,Rubens_Barrichello,.\lfw-deepfunneled\Rubens_Barrichello\Rubens_Barrichello_0009.jpg
3888,Igor_Ivanov,.\lfw-deepfunneled\Igor_Ivanov\Igor_Ivanov_0014.jpg
4864,John_Snow,.\lfw-deepfunneled\John_Snow\John_Snow_0004.jpg
872,Bill_Clinton,.\lfw-deepfunneled\Bill_Clinton\Bill_Clinton_0022.jpg
8675,Tony_Blair,.\lfw-deepfunneled\Tony_Blair\Tony_Blair_0136.jpg
5704,Li_Peng,.\lfw-deepfunneled\Li_Peng\Li_Peng_0007.jpg
3372,Gordon_Brown,.\lfw-deepfunneled\Gordon_Brown\Gordon_Brown_0003.jpg
3459,Guillermo_Coria,.\lfw-deepfunneled\Guillermo_Coria\Guillermo_Coria_0013.jpg
8114,Spencer_Abraham,.\lfw-deepfunneled\Spencer_Abraham\Spencer_Abraham_0012.jpg
6336,Michael_Schumacher,.\lfw-deepfunneled\Michael_Schumacher\Michael_Schumacher_0014.jpg
5779,Lucio_Gutierrez,.\lfw-deepfunneled\Lucio_Gutierrez\Lucio_Gutierrez_0009.jpg
7073,Pete_Sampras,.\lfw-deepfunneled\Pete_Sampras\Pete_Sampras_0006.jpg
2009,Donald_Rumsfeld,.\lfw-deepfunneled\Donald_Rumsfeld\Donald_Rumsfeld_0010.jpg
3239,Gerhard_Schroeder,.\lfw-deepfunneled\Gerhard_Schroeder\Gerhard_Schroeder_0093.jpg
7372,Richard_Gephardt,.\lfw-deepfunneled\Richard_Gephardt\Richard_Gephardt_0003.jpg
5124,Julie_Gerberding,.\lfw-deepfunneled\Julie_Gerberding\Julie_Gerberding_0006.jpg
2609,George_W_Bush,.\lfw-deepfunneled\George_W_Bush\George_W_Bush_0003.jpg
8391,Tommy_Franks,.\lfw-deepfunneled\Tommy_Franks\Tommy_Franks_0002.jpg
8830,Vicente_Fox,.\lfw-deepfunneled\Vicente_Fox\Vicente_Fox_0024.jpg
7967,Sergey_Lavrov,.\lfw-deepfunneled\Sergey_Lavrov\Sergey_Lavrov_0008.jpg
4812,John_Negroponte,.\lfw-deepfunneled\John_Negroponte\John_Negroponte_0008.jpg
5832,Luiz_Inacio_Lula_da_Silva,.\lfw-deepfunneled\Luiz_Inacio_Lula_da_Silva\Luiz_Inacio_Lula_da_Silva_0016.jpg
1298,Charles_Taylor,.\lfw-deepfunneled\Charles_Taylor\Charles_Taylor_0001.jpg
4643,John_Allen_Muhammad,.\lfw-deepfunneled\John_Allen_Muhammad\John_Allen_Muhammad_0004.jpg
3948,Jack_Straw,.\lfw-deepfunneled\Jack_Straw\Jack_Straw_0011.jpg
1473,Colin_Powell,.\lfw-deepfunneled\Colin_Powell\Colin_Powell_0016.jpg
6936,Paul_Burrell,.\lfw-deepfunneled\Paul_Burrell\Paul_Burrell_0008.jpg
6667,Nestor_Kirchner,.\lfw-deepfunneled\Nestor_Kirchner\Nestor_Kirchner_0006.jpg
8910,Vladimir_Putin,.\lfw-deepfunneled\Vladimir_Putin\Vladimir_Putin_0033.jpg
3987,Jacques_Chirac,.\lfw-deepfunneled\Jacques_Chirac\Jacques_Chirac_0020.jpg
3416,Gray_Davis,.\lfw-deepfunneled\Gray_Davis\Gray_Davis_0025.jpg
3769,Hugo_Chavez,.\lfw-deepfunneled\Hugo_Chavez\Hugo_Chavez_0006.jpg
579,Ariel_Sharon,.\lfw-deepfunneled\Ariel_Sharon\Ariel_Sharon_0037.jpg
2592,George_Robertson,.\lfw-deepfunneled\George_Robertson\George_Robertson_0019.jpg
4598,Joe_Lieberman,.\lfw-deepfunneled\Joe_Lieberman\Joe_Lieberman_0002.jpg
8515,Tom_Ridge,.\lfw-deepfunneled\Tom_Ridge\Tom_Ridge_0019.jpg
2104,Donald_Rumsfeld,.\lfw-deepfunneled\Donald_Rumsfeld\Donald_Rumsfeld_0105.jpg
7311,Renee_Zellweger,.\lfw-deepfunneled\Renee_Zellweger\Renee_Zellweger_0013.jpg
2951,George_W_Bush,.\lfw-deepfunneled\George_W_Bush\George_W_Bush_0345.jpg
4441,Jeremy_Greenstock,.\lfw-deepfunneled\Jeremy_Greenstock\Jeremy_Greenstock_0004.jpg
8113,Spencer_Abraham,.\lfw-deepfunneled\Spencer_Abraham\Spencer_Abraham_0011.jpg
615,Ariel_Sharon,.\lfw-deepfunneled\Ariel_Sharon\Ariel_Sharon_0073.jpg
8907,Vladimir_Putin,.\lfw-deepfunneled\Vladimir_Putin\Vladimir_Putin_0030.jpg
4837,John_Paul_II,.\lfw-deepfunneled\John_Paul_II\John_Paul_II_0002.jpg
5917,Mahmoud_Abbas,.\lfw-deepfunneled\Mahmoud_Abbas\Mahmoud_Abbas_0010.jpg
4329,Jennifer_Aniston,.\lfw-deepfunneled\Jennifer_Aniston\Jennifer_Aniston_0011.jpg
8453,Tom_Daschle,.\lfw-deepfunneled\Tom_Daschle\Tom_Daschle_0004.jpg
420,Andy_Roddick,.\lfw-deepfunneled\Andy_Roddick\Andy_Roddick_0005.jpg
2543,George_HW_Bush,.\lfw-deepfunneled\George_HW_Bush\George_HW_Bush_0001.jpg
8665,Tony_Blair,.\lfw-deepfunneled\Tony_Blair\Tony_Blair_0126.jpg
8322,Tiger_Woods,.\lfw-deepfunneled\Tiger_Woods\Tiger_Woods_0003.jpg
3994,Jacques_Chirac,.\lfw-deepfunneled\Jacques_Chirac\Jacques_Chirac_0027.jpg
8445,Tom_Cruise,.\lfw-deepfunneled\Tom_Cruise\Tom_Cruise_0006.jpg
8893,Vladimir_Putin,.\lfw-deepfunneled\Vladimir_Putin\Vladimir_Putin_0016.jpg
3517,Halle_Berry,.\lfw-deepfunneled\Halle_Berry\Halle_Berry_0008.jpg
4231,Jean_Chretien,.\lfw-deepfunneled\Jean_Chretien\Jean_Chretien_0001.jpg
8215,Sylvester_Stallone,.\lfw-deepfunneled\Sylvester_Stallone\Sylvester_Stallone_0008.jpg
4631,John_Abizaid,.\lfw-deepfunneled\John_Abizaid\John_Abizaid_0001.jpg
7400,Richard_Myers,.\lfw-deepfunneled\Richard_Myers\Richard_Myers_0005.jpg
6425,Mike_Weir,.\lfw-deepfunneled\Mike_Weir\Mike_Weir_0003.jpg
3819,Hugo_Chavez,.\lfw-deepfunneled\Hugo_Chavez\Hugo_Chavez_0056.jpg
4359,Jennifer_Capriati,.\lfw-deepfunneled\Jennifer_Capriati\Jennifer_Capriati_0020.jpg
5026,Jose_Serra,.\lfw-deepfunneled\Jose_Serra\Jose_Serra_0002.jpg
7732,Rudolph_Giuliani,.\lfw-deepfunneled\Rudolph_Giuliani\Rudolph_Giuliani_0018.jpg
