Lance_Armstrong,John_Snow
Andre_Agassi,Javier_Solana
Michael_Bloomberg,Donald_Rumsfeld
Pierce_Brosnan,Renee_Zellweger
Megawati_Sukarnoputri,Hugo_Chavez
Taha_Yassin_Ramadan,Ray_Romano
Angelina_Jolie,Jacques_Chirac
Roh_Moo-hyun,Lleyton_Hewitt
Halle_Berry,John_Howard
Bill_Simon,Paul_Bremer
Saddam_Hussein,Paradorn_Srichaphan
Abdullah_Gul,George_W_Bush
Serena_Williams,Tang_Jiaxuan
Ariel_Sharon,George_W_Bush
John_Kerry,Nicanor_Duarte_Frutos
Dominique_de_Villepin,Jean_Chretien
Donald_Rumsfeld,Hans_Blix
Michael_Schumacher,Howard_Dean
Hans_Blix,Eduardo_Duhalde
Nicole_Kidman,George_W_Bush
Norah_Jones,Vladimir_Putin
Igor_Ivanov,Jean_Chretien
Renee_Zellweger,Britney_Spears
Julianne_Moore,Tony_Blair
John_Bolton,Jean_Chretien
George_W_Bush,Lleyton_Hewitt
Paul_Bremer,Ian_Thorpe
Naomi_Watts,Hugo_Chavez
Jack_Straw,Jiri_Novak
Mahmoud_Abbas,Tony_Blair
John_Ashcroft,Tom_Daschle
Vladimir_Putin,George_W_Bush
Gray_Davis,Ricardo_Lagos
Lindsay_Davenport,Gray_Davis
Bill_Clinton,Michael_Schumacher
Hugo_Chavez,Tony_Blair
Colin_Powell,Carlos_Menem
Jiang_Zemin,George_W_Bush
Jennifer_Lopez,Colin_Powell
Meryl_Streep,Hugo_Chavez
John_Negroponte,Gerhard_Schroeder
Nancy_Pelosi,Donald_Rumsfeld
Venus_Williams,Colin_Powell
Atal_Bihari_Vajpayee,Serena_Williams
Kofi_Annan,George_W_Bush
Bill_Gates,Javier_Solana
Luiz_Inacio_Lula_da_Silva,Donald_Rumsfeld
Rudolph_Giuliani,George_W_Bush
Jean_Charest,George_W_Bush
Jose_Maria_Aznar,George_W_Bush
Pete_Sampras,Gray_Davis
Jean_Chretien,John_Paul_II
Carlos_Menem,Colin_Powell
Jacques_Chirac,George_W_Bush
Spencer_Abraham,George_W_Bush
Trent_Lott,Vicente_Fox
Silvio_Berlusconi,Hans_Blix
George_Robertson,Gloria_Macapagal_Arroyo
Tommy_Franks,Gerhard_Schroeder
Ricardo_Lagos,Walter_Mondale
Jeremy_Greenstock,Arnold_Schwarzenegger
Amelie_Mauresmo,Mahathir_Mohamad
Julie_Gerberding,Alejandro_Toledo
John_Snow,Ann_Veneman
Jennifer_Aniston,Condoleezza_Rice
Jennifer_Capriati,David_Beckham
Richard_Myers,Wen_Jiabao
John_Howard,Halle_Berry
Tiger_Woods,David_Nalbandian
David_Beckham,Hamid_Karzai
Alejandro_Toledo,Arnold_Schwarzenegger
Recep_Tayyip_Erdogan,George_W_Bush
Juan_Carlos_Ferrero,Bill_Clinton
Gloria_Macapagal_Arroyo,Tiger_Woods
Laura_Bush,Amelie_Mauresmo
Nestor_Kirchner,George_W_Bush
Hamid_Karzai,Taha_Yassin_Ramadan
Andy_Roddick,Nestor_Kirchner
Guillermo_Coria,Gloria_Macapagal_Arroyo
Tony_Blair,Edmund_Stoiber
Vicente_Fox,George_W_Bush
Tim_Henman,Condoleezza_Rice
Mohammed_Al-Douri,Colin_Powell
Junichiro_Koizumi,Ariel_Sharon
Arnold_Schwarzenegger,Hans_Blix
Carlos_Moya,Colin_Powell
Gerhard_Schroeder,Tommy_Franks
Tom_Ridge,Bill_Simon
Tom_Daschle,Tony_Blair
Winona_Ryder,Tony_Blair
Fidel_Castro,Tom_Daschle
Joschka_Fischer,Carlos_Moya
Lleyton_Hewitt,George_W_Bush
Alvaro_Uribe,Norah_Jones
Pervez_Musharraf,Kofi_Annan
Hu_Jintao,Hugh_Grant
