,actor_name,path
7497,Donald_Rumsfeld,.\data\lfw-deepfunneled\Donald_Rumsfeld\Donald_Rumsfeld_0018.jpg
7606,Tony_Blair,.\data\lfw-deepfunneled\Tony_Blair\Tony_Blair_0139.jpg
6269,George_W_Bush,.\data\lfw-deepfunneled\George_W_Bush\George_W_Bush_0186.jpg
9053,George_HW_Bush,.\data\lfw-deepfunneled\George_HW_Bush\George_HW_Bush_0004.jpg
2013,George_W_Bush,.\data\lfw-deepfunneled\George_W_Bush\George_W_Bush_0348.jpg
8826,John_Kerry,.\data\lfw-deepfunneled\John_Kerry\John_Kerry_0007.jpg
5299,Tony_Blair,.\data\lfw-deepfunneled\Tony_Blair\Tony_Blair_0131.jpg
7233,David_Beckham,.\data\lfw-deepfunneled\David_Beckham\David_Beckham_0023.jpg
4748,Recep_Tayyip_Erdogan,.\data\lfw-deepfunneled\Recep_Tayyip_Erdogan\Recep_Tayyip_Erdogan_0019.jpg
4563,Jean-David_Levitte,.\data\lfw-deepfunneled\Jean-David_Levitte\Jean-David_Levitte_0008.jpg
1594,David_Nalbandian,.\data\lfw-deepfunneled\David_Nalbandian\David_Nalbandian_0006.jpg
4933,Jackie_Chan,.\data\lfw-deepfunneled\Jackie_Chan\Jackie_Chan_0008.jpg
1232,Arnold_Schwarzenegger,.\data\lfw-deepfunneled\Arnold_Schwarzenegger\Arnold_Schwarzenegger_0033.jpg
2356,Spencer_Abraham,.\data\lfw-deepfunneled\Spencer_Abraham\Spencer_Abraham_0005.jpg
2461,Ariel_Sharon,.\data\lfw-deepfunneled\Ariel_Sharon\Ariel_Sharon_0046.jpg
6021,Harrison_Ford,.\data\lfw-deepfunneled\Harrison_Ford\Harrison_Ford_0011.jpg
353,Julianne_Moore,.\data\lfw-deepfunneled\Julianne_Moore\Julianne_Moore_0014.jpg
7814,George_W_Bush,.\data\lfw-deepfunneled\George_W_Bush\George_W_Bush_0169.jpg
4305,Gerhard_Schroeder,.\data\lfw-deepfunneled\Gerhard_Schroeder\Gerhard_Schroeder_0103.jpg
3221,Tom_Ridge,.\data\lfw-deepfunneled\Tom_Ridge\Tom_Ridge_0007.jpg
4159,Harrison_Ford,.\data\lfw-deepfunneled\Harrison_Ford\Harrison_Ford_0004.jpg
