,actor_name,path
2080,Donald_Rumsfeld,../../../data/lfw-deepfunneled\Donald_Rumsfeld\Donald_Rumsfeld_0081.jpg
8604,Tony_Blair,../../../data/lfw-deepfunneled\Tony_Blair\Tony_Blair_0065.jpg
2925,George_W_Bush,../../../data/lfw-deepfunneled\George_W_Bush\George_W_Bush_0319.jpg
2544,George_HW_Bush,../../../data/lfw-deepfunneled\George_HW_Bush\George_HW_Bush_0002.jpg
2793,George_W_Bush,../../../data/lfw-deepfunneled\George_W_Bush\George_W_Bush_0187.jpg
4776,John_Kerry,../../../data/lfw-deepfunneled\John_Kerry\John_Kerry_0015.jpg
8662,Tony_Blair,../../../data/lfw-deepfunneled\Tony_Blair\Tony_Blair_0123.jpg
1796,David_Beckham,../../../data/lfw-deepfunneled\David_Beckham\David_Beckham_0014.jpg
7278,Recep_Tayyip_Erdogan,../../../data/lfw-deepfunneled\Recep_Tayyip_Erdogan\Recep_Tayyip_Erdogan_0016.jpg
4192,Jean-David_Levitte,../../../data/lfw-deepfunneled\Jean-David_Levitte\Jean-David_Levitte_0009.jpg
1854,David_Nalbandian,../../../data/lfw-deepfunneled\David_Nalbandian\David_Nalbandian_0013.jpg
3929,Jackie_Chan,../../../data/lfw-deepfunneled\Jackie_Chan\Jackie_Chan_0010.jpg
691,Arnold_Schwarzenegger,../../../data/lfw-deepfunneled\Arnold_Schwarzenegger\Arnold_Schwarzenegger_0040.jpg
8109,Spencer_Abraham,../../../data/lfw-deepfunneled\Spencer_Abraham\Spencer_Abraham_0007.jpg
603,Ariel_Sharon,../../../data/lfw-deepfunneled\Ariel_Sharon\Ariel_Sharon_0061.jpg
3610,Harrison_Ford,../../../data/lfw-deepfunneled\Harrison_Ford\Harrison_Ford_0006.jpg
5100,Julianne_Moore,../../../data/lfw-deepfunneled\Julianne_Moore\Julianne_Moore_0004.jpg
2821,George_W_Bush,../../../data/lfw-deepfunneled\George_W_Bush\George_W_Bush_0215.jpg
3167,Gerhard_Schroeder,../../../data/lfw-deepfunneled\Gerhard_Schroeder\Gerhard_Schroeder_0021.jpg
8524,Tom_Ridge,../../../data/lfw-deepfunneled\Tom_Ridge\Tom_Ridge_0028.jpg
3613,Harrison_Ford,../../../data/lfw-deepfunneled\Harrison_Ford\Harrison_Ford_0009.jpg
3567,Hans_Blix,../../../data/lfw-deepfunneled\Hans_Blix\Hans_Blix_0007.jpg
1984,Dominique_de_Villepin,../../../data/lfw-deepfunneled\Dominique_de_Villepin\Dominique_de_Villepin_0009.jpg
2041,Donald_Rumsfeld,../../../data/lfw-deepfunneled\Donald_Rumsfeld\Donald_Rumsfeld_0042.jpg
68,Adrien_Brody,../../../data/lfw-deepfunneled\Adrien_Brody\Adrien_Brody_0002.jpg
1479,Colin_Powell,../../../data/lfw-deepfunneled\Colin_Powell\Colin_Powell_0022.jpg
8601,Tony_Blair,../../../data/lfw-deepfunneled\Tony_Blair\Tony_Blair_0062.jpg
877,Bill_Clinton,../../../data/lfw-deepfunneled\Bill_Clinton\Bill_Clinton_0027.jpg
2795,George_W_Bush,../../../data/lfw-deepfunneled\George_W_Bush\George_W_Bush_0189.jpg
914,Bill_Graham,../../../data/lfw-deepfunneled\Bill_Graham\Bill_Graham_0009.jpg
1657,Colin_Powell,../../../data/lfw-deepfunneled\Colin_Powell\Colin_Powell_0200.jpg
7341,Ricardo_Lagos,../../../data/lfw-deepfunneled\Ricardo_Lagos\Ricardo_Lagos_0026.jpg
3136,George_W_Bush,../../../data/lfw-deepfunneled\George_W_Bush\George_W_Bush_0530.jpg
5122,Julie_Gerberding,../../../data/lfw-deepfunneled\Julie_Gerberding\Julie_Gerberding_0004.jpg
4498,Jiang_Zemin,../../../data/lfw-deepfunneled\Jiang_Zemin\Jiang_Zemin_0002.jpg
8220,Taha_Yassin_Ramadan,../../../data/lfw-deepfunneled\Taha_Yassin_Ramadan\Taha_Yassin_Ramadan_0002.jpg
