,actor_name,path
3434,Hans_Blix,.\data\lfw-deepfunneled\Hans_Blix\Hans_Blix_0011.jpg
7984,George_Robertson,.\data\lfw-deepfunneled\George_Robertson\George_Robertson_0009.jpg
9076,Ariel_Sharon,.\data\lfw-deepfunneled\Ariel_Sharon\Ariel_Sharon_0030.jpg
2143,Halle_Berry,.\data\lfw-deepfunneled\Halle_Berry\Halle_Berry_0013.jpg
2754,Hans_Blix,.\data\lfw-deepfunneled\Hans_Blix\Hans_Blix_0029.jpg
7871,Tommy_Franks,.\data\lfw-deepfunneled\Tommy_Franks\Tommy_Franks_0002.jpg
2991,Serena_Williams,.\data\lfw-deepfunneled\Serena_Williams\Serena_Williams_0019.jpg
2212,Lance_Armstrong,.\data\lfw-deepfunneled\Lance_Armstrong\Lance_Armstrong_0017.jpg
4289,Wen_Jiabao,.\data\lfw-deepfunneled\Wen_Jiabao\Wen_Jiabao_0001.jpg
4885,Richard_Gephardt,.\data\lfw-deepfunneled\Richard_Gephardt\Richard_Gephardt_0008.jpg
1507,Megawati_Sukarnoputri,.\data\lfw-deepfunneled\Megawati_Sukarnoputri\Megawati_Sukarnoputri_0021.jpg
5595,Gloria_Macapagal_Arroyo,.\data\lfw-deepfunneled\Gloria_Macapagal_Arroyo\Gloria_Macapagal_Arroyo_0018.jpg
8274,Renee_Zellweger,.\data\lfw-deepfunneled\Renee_Zellweger\Renee_Zellweger_0006.jpg
4776,Lindsay_Davenport,.\data\lfw-deepfunneled\Lindsay_Davenport\Lindsay_Davenport_0014.jpg
4201,Roh_Moo-hyun,.\data\lfw-deepfunneled\Roh_Moo-hyun\Roh_Moo-hyun_0005.jpg
4716,Norah_Jones,.\data\lfw-deepfunneled\Norah_Jones\Norah_Jones_0004.jpg
1176,Laura_Bush,.\data\lfw-deepfunneled\Laura_Bush\Laura_Bush_0021.jpg
1,Luiz_Inacio_Lula_da_Silva,.\data\lfw-deepfunneled\Luiz_Inacio_Lula_da_Silva\Luiz_Inacio_Lula_da_Silva_0027.jpg
4707,Hu_Jintao,.\data\lfw-deepfunneled\Hu_Jintao\Hu_Jintao_0001.jpg
7713,John_Howard,.\data\lfw-deepfunneled\John_Howard\John_Howard_0010.jpg
2001,Wen_Jiabao,.\data\lfw-deepfunneled\Wen_Jiabao\Wen_Jiabao_0013.jpg
344,Vladimir_Putin,.\data\lfw-deepfunneled\Vladimir_Putin\Vladimir_Putin_0018.jpg
3583,Catherine_Zeta-Jones,.\data\lfw-deepfunneled\Catherine_Zeta-Jones\Catherine_Zeta-Jones_0008.jpg
8086,Carlos_Moya,.\data\lfw-deepfunneled\Carlos_Moya\Carlos_Moya_0013.jpg
1297,Salma_Hayek,.\data\lfw-deepfunneled\Salma_Hayek\Salma_Hayek_0005.jpg
955,Recep_Tayyip_Erdogan,.\data\lfw-deepfunneled\Recep_Tayyip_Erdogan\Recep_Tayyip_Erdogan_0011.jpg
253,Serena_Williams,.\data\lfw-deepfunneled\Serena_Williams\Serena_Williams_0007.jpg
7888,Joe_Lieberman,.\data\lfw-deepfunneled\Joe_Lieberman\Joe_Lieberman_0013.jpg
1461,Pete_Sampras,.\data\lfw-deepfunneled\Pete_Sampras\Pete_Sampras_0004.jpg
1960,James_Kelly,.\data\lfw-deepfunneled\James_Kelly\James_Kelly_0011.jpg
3591,Jean_Charest,.\data\lfw-deepfunneled\Jean_Charest\Jean_Charest_0006.jpg
3422,Ariel_Sharon,.\data\lfw-deepfunneled\Ariel_Sharon\Ariel_Sharon_0034.jpg
7231,Adrien_Brody,.\data\lfw-deepfunneled\Adrien_Brody\Adrien_Brody_0005.jpg
7077,Vladimir_Putin,.\data\lfw-deepfunneled\Vladimir_Putin\Vladimir_Putin_0042.jpg
